"stageLevel","question","result","wrongData","type"
"1000-001","Do you have a flight to London from here?","flight","flying,trajectory,escape,fledge","blank"
"1000-002","I want to book a flight to Seoul.","flight","flying,trajectory,escape,fledge","blank"
"1000-003","I want to check in for Flight 123.","Flight","","sentence"
"1000-004","When is the next flight?","next","","sentence"
"1000-005","I want to check this baggage.","baggage","luggage,suitcase,valise,briefcase","blank"
"1000-006","It's fragile.","fragile","breakable,flimsy,frail,weak","blank"
"1000-007","Open your baggage.","baggage","","sentence"
"1000-008","Where is the baggage claim?","baggage","luggage,suitcase,valise,briefcase","blank"
"1000-009","When is the boarding time?","boarding","","sentence"
"1000-010","Where is the immigration?","immigration","immigrant,emigration,emigrant,migration","blank"
"1000-011","Can I see your passport?","passport","","sentence"
"1000-012","Fill out this form.","form","build,frame,pattern,organize","blank"
"1000-013","Where are you from?","from","according,across,addressed,after","blank"
"1000-014","I'm from Korea.","from","","sentence"
"1000-015","Where are you going to stay?","stay","bide,abide,continue,persist","blank"
"1000-016","What is the purpose of your visit?","purpose","intention,intent,resolve,function","blank"
"1000-017","I'm here for business.","business","","sentence"
"1000-018","I'm here for holiday.","holiday","vacation,christmas,weekend,fiesta","blank"
"1000-019","I'm here for sightseeing.","sightseeing","","sentence"
"1000-020","How long do you stay?","stay","","sentence"
"1000-021","I will stay for 7 days.","seven","heptad,vii,cardinal,sevener","blank"
"1000-022","Hand me the declaration form.","declaration","resolve,resolution,evidence,affirmation","blank"
"1000-023","Do you have anything to declare?","declare","","sentence"
"1000-024","I have nothing to declare.","declare","divulge,discover,announce,impart","blank"
"1000-025","Are you Mike?","Mike","","sentence"
"1000-026","Where is the Gate 5?","Gate","gateway,doorstep,portal,doorway","blank"
"1000-027","Can you carry this bag to the taxi stand?","bag","purse,pocketbook,handbag,pocket","blank"
"1000-028","apple,banana,forest","forest","","word"
"1000-029","tower,forest,apple","tower","","word"
"1000-030","cat,polise,tiger","polise","","word"
"1000-031","house,orange,wolf","orange","","word"
