Word,Hint
apple,빨간색이나 초록색으로 달콤한 맛이 나는 과일
banana,길고 노란색으로 달콤한 맛이 나는 과일
grape,작고 둥근 과일로 와인이나 생으로 먹을 수 있음
orange,주황색으로 즙이 많고 비타민 C가 풍부한 과일
kiwi,갈색 껍질에 녹색 속살을 가진 새콤한 과일
pear,녹색이나 노란색 껍질에 달콤하고 아삭한 과일
peach,부드럽고 달콤하며 즙이 많은 과일
melon,크고 둥근 과일로 주로 오렌지나 초록색 속
plum,작고 둥근 과일로 빨간색 또는 보라색 껍질을 가짐
lemon,시큼한 노란색 과일로 음료나 요리에 자주 사용됨
dog,충성스럽고 사람과 함께 사는 동물
cat,작고 귀여운 반려동물로 민첩한 성격을 가짐
tiger,강하고 크며 검은 줄무늬가 있는 고양잇과 동물
elephant,큰 코와 엄청난 크기로 유명한 동물
koala,호주에서 자주 발견되는 유대류로 나무에서 생활
lion,왕처럼 보이는 큰 고양잇과 동물으로 '정글의 왕'
giraffe,긴 목을 가진 아프리카의 초식 동물
rabbit,긴 귀와 작은 몸집을 가진 작은 포유류
monkey,나무에서 살며 장난스러운 성격을 가진 동물
turtle,느리고 단단한 껍질을 가진 파충류
whale,바다에서 사는 거대한 포유류로 수영을 잘함
dolphin,지능이 높고 사람과 친근한 바다의 포유류
shark,빠르고 날카로운 이빨을 가진 바다의 큰 물고기
fish,물을 사는 동물로 지느러미와 아가미가 있음
airplane,하늘을 나는 교통수단으로 비행기를 타고 여행
train,지면을 따라 이동하는 교통수단으로 긴 기차 칸
bus,여러 사람을 태우고 길을 달리는 대중교통 수단
helicopter,하늘을 나는 회전익 항공기로 짧은 거리 비행
bicycle,두 바퀴로 이루어진 친환경적인 교통수단
car,사람들이 이동할 때 사용하는 네 바퀴 차량
submarine,수중을 항해하는 잠수함으로 깊은 바다를 탐험
truck,화물 운반에 사용하는 큰 차로 물건을 실을 수 있음
van,사람이나 화물을 운반하는 작은 화물차
guitar,현악기로 손으로 긁거나 튕겨서 연주하는 악기
piano,건반을 눌러 소리를 내는 악기로 클래식 음악에 사용
violin,활로 현을 문질러 연주하는 악기로 고전 음악에 사용
drums,타악기로 손이나 막대로 타격하여 소리 내는 악기
flute,구멍을 막거나 열어가며 연주하는 관악기
saxophone,브라스 악기와 목관악기의 중간으로 재즈에서 자주 사용
clarinet,목관악기로 음을 내기 위해 리드를 사용하는 악기
cello,큰 현악기로 피아노와 함께 클래식 음악에 자주 사용
trumpet,금속 재질의 관악기로 명랑하고 강렬한 소리
keyboard,건반을 눌러 소리를 내는 전자 악기
pencil,글을 쓸 때 사용하는 연필로 쉽게 지울 수 있음
pen,잉크를 사용하여 글을 쓸 수 있는 도구
eraser,연필로 쓴 글을 지울 때 사용하는 도구
notebook,메모나 글을 쓰는 데 사용하는 책 모양의 용지
scissors,물건을 자를 때 사용하는 도구로 두 개의 날이 있음
marker,글씨를 선명하게 쓸 수 있는 도구로 색깔이 다양함
chalk,검은 칠판에 쓰는 흰색 또는 색깔 있는 분필
ruler,길이를 측정하는 도구로 직선으로 자를 때 사용
glue,물건을 붙일 때 사용하는 접착제
tape,물건을 붙이거나 고정할 때 사용하는 접착 테이프
stapler,서류나 종이를 고정할 때 사용하는 스테이플러
clipboard,서류를 고정하고 작업할 때 사용하는 도구
notepad,간단한 메모를 할 때 사용하는 작은 책
penholder,펜을 세워놓을 때 사용하는 도구
calculator,계산을 쉽게 할 수 있는 전자기기
sofa,앉을 수 있는 가구로 편안한 쿠션이 있는 의자
table,음식이나 작업을 위한 평평한 상판을 가진 가구
chair,앉아서 쉴 수 있는 의자
cup,음료를 담는 작은 그릇으로 손잡이가 있음
glass,투명한 유리로 된 음료를 담을 수 있는 용기
plate,음식을 담는 평평한 접시
bowl,음식을 담을 수 있는 깊은 그릇
spoon,음식을 먹을 때 사용하는 도구로 보통 금속 재질
fork,음식을 집어 먹을 때 사용하는 도구로 날카로운 끝
knife,음식을 자르거나 썰 때 사용하는 도구
napkin,음식을 먹을 때 손이나 입을 닦는 작은 천
oven,음식을 구울 수 있는 가전 제품
microwave,음식을 빠르게 데우는 전자레인지
fridge,음식을 차갑게 보관하는 가전 제품
toaster,빵을 구워주는 작은 가전 제품
blender,과일 등을 갈아서 주스를 만드는 기계
stove,음식을 조리하는 데 사용되는 난로
sink,음식을 씻거나 설거지할 때 사용하는 물빠짐이 있는 장소
laundry,세탁을 하는 곳이나 세탁물
vacuum,먼지를 빨아들이는 청소 기계
broom,먼지를 쓸 때 사용하는 청소 도구
dustpan,청소할 때 먼지를 모으는 작은 술통
mop,바닥을 닦을 때 사용하는 도구
bucket,물이나 다른 액체를 담을 수 있는 큰 그릇
spade,흙을 파거나 퍼내는 데 사용되는 삽
shovel,흙이나 눈을 퍼내는 큰 삽
hammer,못을 박거나 물건을 두드릴 때 사용하는 도구
nail,물건을 고정시키거나 고정할 때 사용하는 작은 금속
screwdriver,나사를 돌려서 조이는 도구
pliers,물건을 잡고 조작할 때 사용하는 집게 모양 도구
wrench,너트를 돌리거나 조이는 도구
drill,구멍을 뚫을 때 사용하는 기계
ladder,높은 곳에 오를 때 사용하는 사다리
towel,몸이나 손을 닦을 때 사용하는 천
blanket,몸을 덮어 따뜻하게 해주는 이불
pillow,머리를 올리고 잠을 자는 데 사용하는 베개
sheet,침대 위에 덮는 커버가 되는 천
mattress,침대 위에 놓고 자는 두꺼운 패드
closet,옷을 보관하는 가구
dresser,옷을 정리하거나 보관할 수 있는 가구
mirror,자신의 모습을 비추는 유리
window,바깥을 볼 수 있는 투명한 유리창
door,건물이나 방을 열고 닫을 수 있는 출입구
wall,방이나 건물의 가장자리에 있는 수직 구조물
floor,건물의 바닥을 구성하는 부분
ceiling,방의 상단 부분으로 천장
roof,건물의 가장 윗부분을 덮는 구조
carpet,바닥에 깔아서 사용하는 직물
furniture,사람이 앉거나 사용하는 가구들
decor,장식품이나 꾸미는 물건
light,어두운 곳을 밝히는 전기 기구
fan,공기를 순환시키거나 시원하게 하는 기계
heater,공기를 따뜻하게 하는 기계
air conditioner,더운 공기를 시원하게 만드는 기계
radio,소리를 방송으로 전하는 기계
television,영상을 보여주는 전자 제품
camera,사진을 찍거나 비디오를 촬영하는 기기
computer,인터넷과 여러 작업을 할 수 있는 전자기기
laptop,이동 가능한 컴퓨터
tablet,손쉽게 사용할 수 있는 작은 컴퓨터
smartphone,모바일 인터넷을 사용할 수 있는 전화기
headphones,귀에 착용하여 소리를 듣는 기기
speaker,소리를 크게 내는 기계
keyboard,컴퓨터에서 글을 입력하는 도구
mouse,컴퓨터에서 커서를 조작하는 장치
monitor,컴퓨터 화면을 보여주는 디스플레이
printer,종이에 문서를 출력하는 기계
scanner,문서를 디지털 형식으로 변환하는 기계
