"exam_id","type","question","passage","option1","option2","option3","option4","correct_answer"
"1","word","다음 중 'Apple'의 올바른 의미는?","해당 단어에 대한 질문에 올바른 답을 고르세요.","사과","바나나","오렌지","포도","1"
"2","word","'Book'의 의미로 가장 적절한 것은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","신문","잡지","책","편지","3"
"3","word","'House'의 올바른 의미는?","해당 단어에 대한 질문에 올바른 답을 고르세요.","아파트","집","학교","병원","2"
"4","word","'Car'를 올바르게 해석한 것은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","자동차","자전거","오토바이","버스","1"
"5","word","'Dog'의 뜻으로 알맞은 것은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","고양이","토끼","햄스터","개","4"
"6","word","'School'의 의미는?","해당 단어에 대한 질문에 올바른 답을 고르세요.","학교","도서관","공원","박물관","1"
"7","word","'Friend'의 올바른 의미는?","해당 단어에 대한 질문에 올바른 답을 고르세요.","가족","이웃","친구","선생님","3"
"8","word","'Water'의 뜻으로 맞는 것은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","물","주스","우유","커피","1"
"9","word","'Sun'의 의미로 적절한 것은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","달","별","구름","태양","4"
"10","word","'Phone'의 올바른 해석은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","전화기","컴퓨터","태블릿","노트북","1"
"11","word","'Time'의 의미는?","해당 단어에 대한 질문에 올바른 답을 고르세요.","시간","날짜","년도","계절","1"
"12","word","'Food'를 올바르게 해석한 것은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","음식","음료","과자","빵","1"
"13","word","'Computer'의 뜻으로 맞는 것은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","텔레비전","라디오","컴퓨터","전화기","3"
"14","word","'Teacher'의 의미로 적절한 것은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","학생","선생님","의사","경찰관","2"
"15","word","'Music'의 올바른 의미는?","해당 단어에 대한 질문에 올바른 답을 고르세요.","영화","드라마","음악","뉴스","3"
"16","word","'Chair'의 뜻은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","책상","의자","침대","소파","2"
"17","word","'Window'의 올바른 해석은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","문","창문","지붕","벽","2"
"18","word","'Tree'의 의미로 맞는 것은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","꽃","풀","나무","잎","3"
"19","word","'Bird'를 올바르게 해석한 것은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","새","물고기","곤충","동물","1"
"20","word","'Moon'의 뜻으로 알맞은 것은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","태양","지구","달","별","3"
"21","word","'Pencil'의 의미는?","해당 단어에 대한 질문에 올바른 답을 고르세요.","연필","펜","지우개","자","1"
"22","word","'Table'의 올바른 의미는?","해당 단어에 대한 질문에 올바른 답을 고르세요.","의자","책상","침대","서랍","2"
"23","word","'Door'의 뜻으로 맞는 것은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","창문","벽","문","천장","3"
"24","word","'Fish'의 의미로 적절한 것은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","새","물고기","고양이","강아지","2"
"25","word","'Flower'의 올바른 해석은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","나무","풀","잎","꽃","4"
"26","word","'Sky'의 의미는?","해당 단어에 대한 질문에 올바른 답을 고르세요.","하늘","땅","바다","산","1"
"27","word","'Hand'를 올바르게 해석한 것은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","발","팔","손","다리","3"
"28","word","'Eye'의 뜻으로 맞는 것은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","코","입","귀","눈","4"
"29","word","'Mouth'의 의미로 적절한 것은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","눈","코","입","귀","3"
"30","word","'Ear'의 올바른 의미는?","해당 단어에 대한 질문에 올바른 답을 고르세요.","눈","코","입","귀","4"
"31","word","'Nose'의 뜻은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","눈","코","입","귀","2"
"32","word","'Hair'의 올바른 해석은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","머리카락","눈썹","속눈썹","수염","1"
"33","word","'Face'의 의미로 맞는 것은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","얼굴","머리","목","어깨","1"
"34","word","'Leg'를 올바르게 해석한 것은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","팔","손","발","다리","4"
"35","word","'Foot'의 뜻으로 알맞은 것은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","손","발","팔","다리","2"
"36","word","'Head'의 의미는?","해당 단어에 대한 질문에 올바른 답을 고르세요.","머리","얼굴","목","어깨","1"
"37","word","'Finger'의 올바른 의미는?","해당 단어에 대한 질문에 올바른 답을 고르세요.","발가락","손가락","팔","다리","2"
"38","word","'Tooth'의 뜻으로 맞는 것은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","이빨","혀","입술","잇몸","1"
"39","word","'Heart'의 의미로 적절한 것은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","폐","심장","위","간","2"
"40","word","'Brain'의 올바른 해석은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","심장","폐","뇌","간","3"
"41","word","'Arm'의 의미는?","해당 단어에 대한 질문에 올바른 답을 고르세요.","다리","손","팔","발","3"
"42","word","'Neck'를 올바르게 해석한 것은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","어깨","목","등","가슴","2"
"43","word","'Back'의 뜻으로 맞는 것은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","가슴","배","등","엉덩이","3"
"44","word","'Stomach'의 의미로 적절한 것은?","해당 단어에 대한 질문에 올바른 답을 고르세요.","가슴","배","등","엉덩이","2"
