"stageLevel","question","result","wrongData","type"
"1001-001","Can I buy duty-free items on board?","duty-free","exempt,nontaxable,shop,customs","blank"
"1001-002","Can you show me to my seat?","seat","sit,behind,derriere,induct","blank"
"1001-003","Can I have something to drink?","drink","","sentence"
"1001-004","Can you tell me how to fill out?","fill out","","sentence"
"1001-005","Can you move your seat forward?","seat","sit,behind,derriere,induct","blank"
"1001-006","Do you have something for airsickness?","airsickness","aeroneurosis,turbulence,buffeting,spin","blank"
"1001-007","I want to adjust this seat.","adjust","","sentence"
"1001-008","I want to change my seat.","change","alteration,alter,convert,interchange","blank"
"1001-009","I want to fill in this form.","form","","sentence"
"1001-010","When can the plain arrive?","plain","solid,trim,homely,mere","blank"
"1001-011","When can I have the meal?","meal","","sentence"
"1001-012","Where is the toilet?","toilet","bathroom,lav,commode,lavatory","blank"
"1001-013","I want to buckle this seatbelt.","buckle","warp,crumple,heave,clasp","blank"
"1001-014","Excuse me, can I talk to you?","talk","","sentence"
"1001-015","Do you speak English?","speak","verbalize,talk,address,utter","blank"
"1001-016","How long have you been here?","been","europe,lent,beena,sent","blank"
"1001-017","Can you say that again?","say","","sentence"
"1001-018","I don't understand.","understand","realize,infer,see,interpret","blank"
"1001-019","I want to introduce myself.","introduce","","sentence"
"1001-020","I want to practice English.","practice","","sentence"
"1001-021","I want to meet you again.","meet","encounter,fulfill,fitting,receive","blank"
"1001-022","Can I have your phone number?","phone","telephone,call,earphone,earpiece","blank"
"1001-023","I want to go there.","go","","sentence"
"1001-024","It’s beautiful.","beautiful","gorgeous,sightly,comely,fair","blank"
"1001-025","It's terrible.","terrible","","sentence"
"1001-026","Where do you stay?","stay","bide,abide,continue,persist","blank"
