"stageLevel","question","result","wrongData","type"
"1007-001","How much is the fare?","fare","come,do,menu,trip","blank"
"1007-002","How long does it take?","take","","sentence"
"1007-003","When is the departure time?","departure","exit,release,expiration,loss","blank"
"1007-004","What station did the announcement say?","announcement","proclamation,promulgation,annunciation,declaring","blank"
"1007-005","Can I walk there from here?","walk","","sentence"
"1007-006","One ticket to London, please.","ticket","fine,coupon,itinerary,passport","blank"
"1007-007","How far is it?","far","","sentence"
"1007-008","How many minutes to London?","minutes","proceedings,transactions,transcript,report","blank"
"1007-009","Can you let me know when we get there?","there","","sentence"
"1007-010","Where can I catch a bus to City Hall?","catch","grab,snatch,capture,apprehension","blank"
"1007-011","Do you have a bus map?","map","represent,chart,cartography,cartographic","blank"
"1007-012","Can I have a bus timetable?","timetable","","sentence"
"1007-013","Where’s the bus to London?","bus","omnibus,jitney,autobus,motorbus","blank"
"1007-014","When is the last bus to Rome?","last","","sentence"
"1007-015","Is there a bus to the zoo from here?","zoo","","sentence"
"1007-016","Which bus goes downtown?","downtown","uptown,midtown,city,town","blank"
"1007-017","Where can I buy a subway ticket?","subway","","sentence"
"1007-018","Which platform does my train leave?","platform","program,chopine,chopines,staging","blank"
"1007-019","Go to the hotel.","hotel","villa,guesthouse,inn,motel","blank"
"1007-020","Go here.","here","present,hither,hera,there","blank"
"1007-021","Can you call a taxi?","taxi","","sentence"
"1007-022","Keep the change.","change","alteration,alter,convert,interchange","blank"
"1007-023","Take me to the airport.","airport","","sentence"
"1007-024","I have a flat tire.","tire","weary,fatigue,outwear,bore","blank"
"1007-025","I want to rent a car for 2 days.","rent","","sentence"
