Word,Description
apple,붉거나 초록색의 달콤한 과일
banana,길고 노란색이며 칼륨이 풍부한 과일
grape,작고 둥글며 보라색이나 초록색인 과일
melon,크고 달콤한 과일로 여름에 자주 먹음
lemon,노란색이며 신맛이 강한 감귤류 과일
peach,부드러운 털이 있고 달콤한 씨가 있는 과일
plum,작고 둥글며 보라색이거나 붉은색인 과일
cherry,작고 둥글며 씨가 있는 빨간색 과일
berry,작고 즙이 많으며 다양한 색상의 과일
mango,열대 지방에서 자라는 달콤하고 부드러운 과일
carrot,주황색 뿌리채소로 비타민 A가 풍부함
potato,흙에서 자라며 삶거나 튀겨 먹는 채소
tomato,빨갛고 즙이 많으며 샐러드에 자주 사용됨
cabbage,잎이 겹겹이 쌓여있는 녹색 채소
lettuce,샐러드에 많이 사용되는 연한 녹색 잎채소
onion,맵고 자를 때 눈물이 나는 채소
garlic,강한 향이 있으며 요리에 감칠맛을 더함
pepper,빨강 초록 노랑 등 다양한 색상의 채소
corn,노란색 알갱이로 이루어진 곡물
broccoli,짙은 녹색이며 나무처럼 생긴 채소
rabbit,긴 귀를 가진 작은 초식 동물
tiger,줄무늬가 있는 대형 육식 동물
zebra,검은색과 흰색 줄무늬가 있는 동물
lion,갈기가 있고 강한 힘을 가진 육식 동물
elephant,긴 코와 큰 귀를 가진 초식 동물
giraffe,목이 길고 키가 매우 큰 초식 동물
fox,작고 날렵하며 붉은 털을 가진 동물
deer,긴 뿔이 있으며 초식성인 동물
whale,바다에서 사는 거대한 포유류
shark,예리한 이빨을 가진 무서운 바다 동물
dolphin,똑똑하고 물에서 뛰어오를 수 있는 해양 동물
eagle,날개가 크고 시력이 좋은 맹금류
parrot,알록달록한 깃털을 가지고 말을 흉내 내는 새
penguin,날지 못하지만 수영을 잘하는 남극의 새
crow,검은색이며 지능이 높은 새
sparrow,작고 흔히 볼 수 있는 갈색 새
chair,앉을 수 있도록 만든 가구
table,물건을 놓거나 식사를 할 때 사용하는 가구
bed,잠을 잘 때 사용하는 가구
sofa,여러 사람이 함께 앉을 수 있는 가구
desk,공부나 일을 할 때 사용하는 가구
lamp,빛을 내는 전등이나 조명 기구
mirror,모습을 반사하는 유리판
clock,시간을 알려주는 기계 장치
window,빛과 공기가 드나드는 유리문
door,방이나 건물의 출입구를 여닫는 구조물
school,학생들이 공부하는 곳
teacher,학생들을 가르치는 사람
book,글자가 적혀 있는 종이 묶음
pencil,필기를 할 때 사용하는 도구
eraser,잘못 쓴 글씨를 지울 때 사용하는 도구
