"exam_id","type","question","passage","option1","option2","option3","option4","correct_answer"
"1","answer","다음 인사말에 대한 가장 적절한 응답을 고르시오.","How have you been lately?","I'm very tired.","I've been pretty busy with work.","I went to school.","The weather is cold.","2"
"2","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","Could you _________ me the way to the station?","speak","tell","talk","say","2"
"3","situation","식당에서 물을 요청할 때 사용하기에 가장 적절한 표현을 고르시오.","You want to ask for water at a restaurant.","I want water.","Where is water?","Could I have a glass of water, please?","I like water.","3"
"4","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","She have been studying English for three years.","have","been","studying","for","1"
"5","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","I _________ to the gym three times a week.","going","goes","went","go","4"
"6","answer","다음 질문에 대한 가장 적절한 응답을 고르시오.","Would you like to join us for dinner tonight?","Maybe next time.","I'd love to, what time?","I like chicken.","My name is John.","2"
"7","situation","카페에서 주문할 때 사용하기에 가장 적절한 표현을 고르시오.","You want to order a coffee at a cafe.","The coffee is hot.","Where is the bathroom?","I don't drink water.","I'd like an iced americano, please.","4"
"8","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","She _________ her homework every evening.","doing","do","does","did","3"
"9","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","They is going to the movie theater tomorrow.","is","going","to","tomorrow","1"
"10","answer","다음 상황에서 가장 적절한 응답을 고르시오.","I'm sorry I'm late for the meeting.","The meeting is important.","It's okay, don't worry.","The weather is nice.","No worries, we just started.","4"
"11","situation","병원 예약을 하고 싶을 때 사용하기에 가장 적절한 표현을 고르시오.","You want to make a doctor's appointment.","I have a headache.","I'd like to make an appointment for tomorrow.","Where is the hospital?","I don't like doctors.","2"
"12","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","Can you _________ me a favor?","make","do","give","take","2"
"13","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","He don't like to eat spicy food.","don't","like","to","eat","1"
"14","answer","다음 질문에 대한 가장 적절한 응답을 고르시오.","How do you like your new job?","I go to work by bus.","The office is big.","It's challenging but interesting.","I work at 9 AM.","3"
"15","situation","슈퍼마켓에서 물건의 위치를 물을 때 사용하기에 가장 적절한 표현을 고르시오.","You want to find milk in a supermarket.","I want to buy milk.","The milk is white.","I like milk.","Excuse me, where can I find the milk?","4"
"16","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","We _________ to the beach last summer.","go","went","going","gone","2"
"17","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","The children plays in the park every day.","plays","in","the","every","1"
"18","answer","다음 상황에서 가장 적절한 응답을 고르시오.","Do you mind if I open the window?","Yes, it's a window.","Not at all, go ahead.","The window is clean.","I like fresh air.","2"
"19","situation","택시에서 목적지를 말할 때 사용하기에 가장 적절한 표현을 고르시오.","You want to go to the central station.","I like trains.","Where is the station?","Could you take me to the central station, please?","The station is far.","3"
"20","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","He _________ English for five years.","have studied","studying","studies","has studied","4"
"21","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","I am study English every morning.","am study","English","every","morning","1"
"22","answer","다음 질문에 대한 가장 적절한 응답을 고르시오.","What do you think about the new restaurant?","It's next to the bank.","I'm hungry.","The food was delicious.","I went there yesterday.","3"
"23","situation","호텔 체크인할 때 사용하기에 가장 적절한 표현을 고르시오.","You want to check in at a hotel.","I like this hotel.","Where is my room?","The hotel is big.","I have a reservation under the name Smith.","4"
"24","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","_________ you help me carry these bags?","Can't","Would","Could","Will","3"
"25","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","She don't have to go to school today.","don't","have","to","today","1"
"26","answer","다음 상황에서 가장 적절한 응답을 고르시오.","Would you like some more coffee?","I like coffee.","No, thanks. I'm good.","It's hot.","The cup is empty.","2"
"27","situation","길을 잃었을 때 사용하기에 가장 적절한 표현을 고르시오.","You are lost and need directions.","I don't know where I am.","The street is long.","I like walking.","Excuse me, I'm a bit lost. Could you help me?","4"
"28","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","They _________ dinner when I arrived.","have","are having","was having","were having","4"
"29","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","The book who I bought yesterday is interesting.","who","bought","yesterday","is","1"
"30","answer","다음 질문에 대한 가장 적절한 응답을 고르시오.","How was your weekend?","It's Sunday today.","I like weekends.","It was great! I went hiking.","Tomorrow is Monday.","3"
"31","situation","미용실에서 머리 스타일을 요청할 때 사용하기에 가장 적절한 표현을 고르시오.","You want to get a haircut.","My hair is long.","I'd like to get my hair trimmed, please.","Where is the salon?","I don't like haircuts.","2"
"32","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","If it rains tomorrow, I _________ at home.","stay","staying","stayed","will stay","4"
"33","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","I have been to Paris last year.","have been","to","Paris","last year","1"
"34","answer","다음 상황에서 가장 적절한 응답을 고르시오.","Can I borrow your pen?","It's a blue pen.","I like pens.","I have many pens.","Sure, here you are.","4"
"35","situation","기차표를 예매할 때 사용하기에 가장 적절한 표현을 고르시오.","You want to buy a train ticket.","Trains are fast.","I'd like a ticket to Boston, please.","Where is the station?","I like traveling.","2"
"36","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","She _________ TV when the phone rang.","watched","watches","watching","was watching","4"
"37","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","I am going to the store for buy some milk.","for","going","to","store","1"
"38","answer","다음 질문에 대한 가장 적절한 응답을 고르시오.","What time does the movie start?","It's a good movie.","It starts at 7:30.","I like movies.","The theater is big.","2"
"39","situation","레스토랑에서 계산을 요청할 때 사용하기에 가장 적절한 표현을 고르시오.","You want to ask for the bill.","The food was good.","Where is the restaurant?","Could I have the bill, please?","I have money.","3"
"40","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","You should _________ to the doctor.","going","went","gone","go","4"
"41","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","She has went to the store.","has went","to","the","store","1"
"42","answer","다음 상황에서 가장 적절한 응답을 고르시오.","Happy birthday!","It's a cake.","Thank you so much!","I like parties.","Today is Tuesday.","2"
"43","situation","공항에서 수하물을 찾을 때 사용하기에 가장 적절한 표현을 고르시오.","You want to find your luggage.","I lost my bag.","The airport is big.","Excuse me, where is the baggage claim area?","I like traveling.","3"
"44","blank","빈칸에 들어갈 가장 적절한 표현을 고르시오.","He _________ in London for ten years.","have lived","living","lives","has lived","4"
"45","error","다음 문장에서 문법적으로 잘못된 부분을 고르시오.","I am tired because I have work very hard.","have work","very","hard","tired","1"
"46","answer","다음 질문에 대한 가장 적절한 응답을 고르시오.","How do you feel about the new policy?","The policy is new.","It was announced yesterday.","I think it's a good change.","The office is quiet.","3"
"47","situation","약국에서 약을 구매할 때 사용하기에 가장 적절한 표현을 고르시오.","You want to buy medicine for a headache.","My head hurts.","Where is the pharmacy?","I don't like medicine.","I need something for a headache, please.","4"
